2018-09-28 09:28:52.141 - [main] INFO  - netty.NettyServer - Http Server listening on 8005
2018-09-28 10:47:00.430 - [nioEventLoopGroup-3-4] INFO  - netty.NettyServerHandller - 客户端与服务端连接关闭.../0:0:0:0:0:0:0:1:54414
2018-09-28 10:47:04.147 - [nioEventLoopGroup-3-5] INFO  - netty.NettyServerHandller - 客户端与服务端连接开启，客户端remoteAddress：/0:0:0:0:0:0:0:1:54421
2018-09-28 10:47:04.148 - [nioEventLoopGroup-3-5] INFO  - netty.NettyServerHandller - 客户端与服务端连接关闭.../0:0:0:0:0:0:0:1:54421
2018-09-28 10:47:04.149 - [nioEventLoopGroup-3-6] INFO  - netty.NettyServerHandller - 客户端与服务端连接开启，客户端remoteAddress：/0:0:0:0:0:0:0:1:54422
2018-09-28 10:47:04.174 - [nioEventLoopGroup-3-6] INFO  - netty.NettyServerHandller - 客户端与服务端连接关闭.../0:0:0:0:0:0:0:1:54422
2018-09-28 10:47:24.937 - [nioEventLoopGroup-3-7] INFO  - netty.NettyServerHandller - 客户端与服务端连接开启，客户端remoteAddress：/0:0:0:0:0:0:0:1:54459
2018-09-28 10:47:27.697 - [nioEventLoopGroup-3-8] INFO  - netty.NettyServerHandller - 客户端与服务端连接开启，客户端remoteAddress：/0:0:0:0:0:0:0:1:54465
2018-09-28 10:55:47.777 - [main] INFO  - netty.NettyServer - Http Server listening on 8005
2018-09-28 10:56:31.946 - [nioEventLoopGroup-3-2] INFO  - netty.NettyServerHandller - 客户端与服务端连接开启，客户端remoteAddress：/0:0:0:0:0:0:0:1:55253
2018-09-28 10:56:31.946 - [nioEventLoopGroup-3-1] INFO  - netty.NettyServerHandller - 客户端与服务端连接开启，客户端remoteAddress：/0:0:0:0:0:0:0:1:55252
2018-09-28 10:56:31.959 - [nioEventLoopGroup-3-1] INFO  - netty.NettyServerHandller - 客户端与服务端连接关闭.../0:0:0:0:0:0:0:1:55252
2018-09-28 10:56:32.351 - [nioEventLoopGroup-3-2] INFO  - c.a.druid.pool.DruidDataSource - {dataSource-1} inited
2018-09-28 10:56:32.433 - [nioEventLoopGroup-3-2] INFO  - netty.NettyServerHandller - 客户端与服务端连接关闭.../0:0:0:0:0:0:0:1:55253
2018-09-28 10:56:34.949 - [nioEventLoopGroup-3-3] INFO  - netty.NettyServerHandller - 客户端与服务端连接开启，客户端remoteAddress：/0:0:0:0:0:0:0:1:55260
2018-09-28 10:56:34.950 - [nioEventLoopGroup-3-4] INFO  - netty.NettyServerHandller - 客户端与服务端连接开启，客户端remoteAddress：/0:0:0:0:0:0:0:1:55261
2018-09-28 10:56:34.950 - [nioEventLoopGroup-3-3] INFO  - netty.NettyServerHandller - 客户端与服务端连接关闭.../0:0:0:0:0:0:0:1:55260
2018-09-28 10:56:34.967 - [nioEventLoopGroup-3-4] INFO  - netty.NettyServerHandller - 客户端与服务端连接关闭.../0:0:0:0:0:0:0:1:55261
2018-09-28 10:56:37.930 - [nioEventLoopGroup-3-6] INFO  - netty.NettyServerHandller - 客户端与服务端连接开启，客户端remoteAddress：/0:0:0:0:0:0:0:1:55267
2018-09-28 10:56:37.930 - [nioEventLoopGroup-3-5] INFO  - netty.NettyServerHandller - 客户端与服务端连接开启，客户端remoteAddress：/0:0:0:0:0:0:0:1:55266
2018-09-28 10:56:37.931 - [nioEventLoopGroup-3-5] INFO  - netty.NettyServerHandller - 客户端与服务端连接关闭.../0:0:0:0:0:0:0:1:55266
2018-09-28 10:56:37.956 - [nioEventLoopGroup-3-6] INFO  - netty.NettyServerHandller - 客户端与服务端连接关闭.../0:0:0:0:0:0:0:1:55267
